base,target,last,volume,trust_score,bid_ask_spread_percentage,timestamp,last_traded_at,last_fetch_at,is_anomaly,is_stale,trade_url,token_info_url,crip_id,target_coin_id,marketplace,marketplace_id,converted_last_btc,converted_last_eth,converted_last_usd,converted_volume_btc,converted_volume_eth,converted_volume_usd
0xb1c064c3f2908f741c9dea4afc5773238b53e6cc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4.36586455117256e-08,22793640.57286719,yellow,0.610212,2023-08-22 01:04:20,2023-08-22 01:04:20,2023-08-22 01:32:18,False,True,https://app.uniswap.org/#/swap?inputcurrency=0xb1c064c3f2908f741c9dea4afc5773238b53e6cc&outputcurrency=eth,https://v2.info.uniswap.org/token/0xb1c064c3f2908f741c9dea4afc5773238b53e6cc,warioxrpdumbledoreyugioh69inu,weth,uniswap v2 (ethereum),uniswap_v2,2.789e-09,4.3665e-08,7.279e-05,0.06403451,1.002416,1670.91
akt,usdt,1.4532,726427.9517,green,0.309896,2023-08-24 17:24:55,2023-08-24 17:24:55,2023-08-24 17:24:55,False,False,https://www.kucoin.com/trade/akt-usdt,not founded token_info_url #404,akash-network,tether,kucoin,kucoin,5.573e-05,0.00088094,1.45,40.482389,639.937,1054615.0
akt,usd,1.4718,600117.21854801,green,0.312542,2023-08-24 17:23:45,2023-08-24 17:23:45,2023-08-24 17:23:45,False,False,https://pro.kraken.com/app/trade/akt-usd,not founded token_info_url #404,akash-network,usd,kraken,kraken,5.646e-05,0.00089255,1.47,33.884656,535.637,883253.0
akt,usdt,1.46212,315254.0,green,0.392221,2023-08-24 17:25:01,2023-08-24 17:25:01,2023-08-24 17:25:01,False,False,https://ascendex.com/en/cashtrade-spottrading/usdt/akt,not founded token_info_url #404,akash-network,tether,ascendex (bitmax),bitmax,5.607e-05,0.00088627,1.46,17.676319,279.399,460772.0
akt,usdt,1.45524,219834.87584972,green,0.3469,2023-08-24 17:25:53,2023-08-24 17:25:53,2023-08-24 17:25:53,False,False,https://gate.io/trade/akt_usdt,not founded token_info_url #404,akash-network,tether,gate.io,gate,5.581e-05,0.0008821,1.45,12.249217,193.616,319303.0
akt,usdt,1.4507,714851.0401600442,green,1.13722,2023-08-24 17:25:44,2023-08-24 17:25:44,2023-08-24 17:25:44,False,False,https://www.huobi.com/en-us/exchange/akt_usdt,not founded token_info_url #404,akash-network,tether,huobi,huobi,5.563e-05,0.00087934,1.45,39.890601,630.526,1039835.0
akt,eth,0.000881,4549.69167,green,1.576577,2023-08-24 17:25:53,2023-08-24 17:25:53,2023-08-24 17:25:53,False,False,https://gate.io/trade/akt_eth,not founded token_info_url #404,akash-network,ethereum,gate.io,gate,5.575e-05,0.0008812,1.45,0.2532646,4.003198,6601.89
akt,eur,1.3513,32110.59952485,green,0.82359,2023-08-24 17:02:43,2023-08-24 17:02:43,2023-08-24 17:23:45,False,False,https://pro.kraken.com/app/trade/akt-eur,not founded token_info_url #404,akash-network,usd,kraken,kraken,5.61e-05,0.00088685,1.46,1.801484,28.477248,46958.0
akt,usd,1.4593,53293.0,green,1.69381,2023-08-24 17:20:12,2023-08-24 17:20:12,2023-08-24 17:23:30,False,False,https://crypto.com/exchange/trade/spot/akt_usd,not founded token_info_url #404,akash-network,usd,crypto.com exchange,crypto_com,5.598e-05,0.00088497,1.46,2.983547,47.162904,77770.0
akt,usdt,1.4633,8562.28707687,green,0.996723,2023-08-24 17:24:00,2023-08-24 17:24:00,2023-08-24 17:24:00,False,False,https://www.coinex.com/trading?currency=usdt&dest=akt#limit,not founded token_info_url #404,akash-network,tether,coinex,coinex,5.612e-05,0.00088706,1.46,0.47663561,7.534554,12416.93
ibc/1480b8fd20ad5fcae81ea87584d269547dd4d436843c1d20f15e00eb64743ef4,uosmo,3.655835948,729754.6254926223,yellow,0.602852,2023-08-24 17:25:13,2023-08-24 17:25:13,2023-08-24 17:25:13,False,False,https://app.osmosis.zone/?from=ibc/1480b8fd20ad5fcae81ea87584d269547dd4d436843c1d20f15e00eb64743ef4&to=uosmo,not founded token_info_url #404,akash-network,osmosis,osmosis,osmosis,5.661e-05,0.00089478,1.48,41.310684,652.973,1076853.0
ibc/1480b8fd20ad5fcae81ea87584d269547dd4d436843c1d20f15e00eb64743ef4,ibc/27394fb092d2eccd56123c74f36e4c1f926001ceada9ca97ea622b25f41e5eb2,0.20409502378574432,210749.81330541393,yellow,0.602935,2023-08-24 17:25:13,2023-08-24 17:25:13,2023-08-24 17:25:13,False,False,https://app.osmosis.zone/?from=ibc/1480b8fd20ad5fcae81ea87584d269547dd4d436843c1d20f15e00eb64743ef4&to=ibc/27394fb092d2eccd56123c74f36e4c1f926001ceada9ca97ea622b25f41e5eb2,not founded token_info_url #404,akash-network,cosmos,osmosis,osmosis,5.663e-05,0.00089518,1.48,11.935658,188.66,311129.0
